free_text,label_id
này chắc bắt xong hết án rồi được chiêu mộ luôn một thiên tài như này mà không lấy mới lạ,0
hải bảo rùi thà nghèo mà yên bình còn hơn giàu mà bất ổn.tao buồn ỉa quá,1
mấy th mặt lồn,2
"không phải người thân nhưng thấy họ không còn nữa đã hi sinh cho dân tộc của họ, tôi cũng buồn dành 1 sự tôn trọng",0
"thành hồ và thành hà, thành nào cũng bị ô nhiễm không khí độc hại rất nguy hiểm ! có lẽ ông trời ổng trừng phạt bọn việt cộng gian ác, gian tà, gian dối, gian dâm, đã nghèo đói mà còn bày đặt giải phóng miền nam !",2
giải thích ra bể hết sao,0
nguyễn tuấn trường thế ai động tới m kiểu đó m bth không ?,0
"chương trình riết nhảm, bế tắc. mời bọn tục tỉu, vô văn hóa lên tv.",2
"ngày này cũng đến rồi, quá đã",0
ơ chưa có công nhận liệt sỹ hả,0
tôi hết sức quan ngại về chn này..dm..tôi ngày cứ quan ngại,1
mấy lão già vừa bị phạt rồi giờ lại đến mấy mẹ,1
"từ bác hồ vĩ đại,.. đến quốc trung hiền sĩ, là những quái vật thường hiện thân dưới triều đại độc tài dối trá cộng sản việt nam.",2
hán hoá từ từ,2
có 600km mà nổ gì thêm con số 0 cũng ok nếu có mất mát thua lỗ thì đã có đàn dân ghánh chịu rồi lo gì,0
"đmm biết bao nhiêu vụ như vậy rồi trời, khó hiểu quá , 0 biết suy nghĩ gì 0 biết",1
mặc cái quần giống thằng biến thái,1
kon mẹ nó riết tụi công an này nó điên rồi,2
dĩ nhiên 1 người là huyền thoại thì sỉ nhục cho cút..chứ loại vô danh tiểu tốt cc của fifa 3 lần ngâu nhất wc thì éo ai quan tâm cả 🤣🤣,2
djt mẹ.thuyết phục cái cười,1
tây nó lại bảo mới trốn viện,0
"toàn tiền thuế dân nuôi để trị lại dân , chỉ có ở xứ đl",2
chị ăn gì xạo lồn chó vậy chị 3. đụ mẹ chị 3 chó hoang,2
chuc.cac.chiên.si.kien.cuong.bât.khuât.trung.hâu.đam.đang,0
"cương đặng m chắc là dân miền ngoài r mở miệng là thịt chó , chúng m đeo có tình thương động vật",2
dân triều tiên còn lâu mới thoát khỏi ách nhà họ kim,0
người trong một nước thì thương nhau cùng.vui mà.,0
"đây chỉ là lập lại những điều đã xảy ra ở nước mỹ trong nhiều năm qua. một ngày gần đây sự trục xuất người di cư sẽ xảy ra ở những nước khác, khi họ thắt chặt luật di trú và cắt giảm dân số di cư. dân số di cư đã mang đến nhiều tác hại cho nước mỹ, và sẽ theo dây chuyền cho các quốc gia khác.",0
ôi à dg nhai bcs rùi đấy,1
"bọn dư luận viên hài thật d t me thằng ăn thuế của dân mà sống thì giúp dân là chuyện đương nhiên và lẽ đương nhiên chúng ta vẫn kính trọng họ , còn người không ăn thuế , nộp thuế lại tự bỏ tiền túi ra giúp dân thì chúng nó chửi như chó, chúng nó chỉ làm xấu đi hình ảnh người chiến sĩ của chúng nó mà thôi",2
chu c mư ng ba c mô t lo ng vi nươ c vi dân. chu c ba c nhiê u sư c kho e.,0
nói về vấn đề này mình nhận số 2 không ai dám nhận số 1,0
m nói láo chứ ai,1
"ông này nói bậy nhiều lần , máy năm về trước tiên đoán cộng sản sẻ giải thể để cho họ đào lên thế vậy mà bây giờ cũng còn dám bố nữa. chắc dịch bệnh nhiều quá quần lót khan hiếm khó mua cho nên không thấy ông ta trùm cái mặt lại",2
đăng ninh ke me m,1
3k lấy vd chanel bleu đi giá thị trường 2tr livestream nó bán 200k 300k nhiều lúc tặng thêm chai nửa..bán lần cả lố bây nghĩ đi của ong nội nó đổ ra cho ha gì. lấy cái não dùng đi,1
"địt mẹ, kiểm tra nội bộ 😂. giống như dùng tay sục c c vậy quản trị nhỉ.",1
