free_text,label_id
thằng này láo,2
chuyển à sang phòng tạm giam cho đỡ ngột_ngạt,2
"alo alo 1,2,3",0
chi ba co căt cho gi khoe_khoang sao lôn,1
thích câu này vl bạn lịch_sự quản_trị lịch_sự . bạn cục_súc quản_trị dí l vào mặt bạn luôn,2
"địt_mẹ cái luật ở việt nam kinh_nghiệm đi sửa lại chúng_nó vẫn rút được sửa hết lần này qua lần khác . tốt nhất_là cắt chức hoặc tử_hình đéo nói nhiều với quan_chức , tụi nó nhiều tiền chạy_án lắm",1
đọc báo lá_cải và cắn skin bất_hủ của rận,0
nnói ý_kiếnn của mìnnh mà bị gọi là phảnn_độnng . . xàm vl,2
"cho_dù một tôn_giáo nào . đức_tin o mất tiền mua , nhưng cứu cả phần hồn và phần xác . . ! là chân_lý , là ánh_sáng , là con đường tốt_đẹp cứu_cánh cho cả nhân_loại o rơi vào bế_tắc , tà_ma , diệt_vong . . chỉ lủ cộng_sản học_thuyết vô_thần làm con_người mất phương_hướng , làm xã_hội thêm loạn_lạc điêu_linh mà thôi . . ! các bạn cứ chiêm_nghiệm đi , rồi sẻ thấy . mỗi chúng_ta hãy giữ lấy đức_tin cho chính mình . . !",2
chuỵ ba xạo lồn,1
thật nực_cười sai_phạm tày_trời vẩn leo cao đến chóp_bu chỉ đến khi muốn hạ_bệ nhau thì tội_trạng mới được lôi ra xử_lý . thiệt_hại cho nd hàng bao ngàn tỉ rồi lại chỉ cảnh_cáo cắt chức về vườn an_toàn thế_là xong . ! ! chế_độ này chúng chỉ nhân_đạo với bọn q chức cộng_sản . . ? ?,2
minh hieu ali chui noi bon ngu nguco bang cap,2
lồn có tiền mà xạo không,1
thôi chắc ngta chết các bạn mới vừa_ý,0
"thầyyyy lồn được cái sủa dơ , yêu thầy 3",1
liu liu,0
tiền này cướp từ thuế thu_hồi đất của người dân_thường việt_nam mà ra,1
ý bạn này có phải là người khác nỗ_lực để xắm oto cho bạn ngồi tránh mưa phải không ! ? 😅,0
"tiên me mây cho vay tiên gop ma noi lam tư thiên , bơt sao lôn đi minh hiêu tôi mây_ăn chăn đu tư thiên_thi đung hơn",1
"chị 3 nói nghe hay quá , tiếng dì 3 hát cải_lương chắt ngọt lắm",0
"dạo này bệnh lợn tả châu phi tạm yên ! ! bây_giờ lại bắt_đầu bệnh bò điên hoang_tưởng , rối_loạn phân_liệt ông giáo ạh ! thế có nguy không chứ !",1
đm thă ng quản_trị xamlone vl,1
chết mẹ abe gòi,2
quá khốn_nạn cho nền công_lý tại vn .,2
